id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
605638,OTRO,27,29-09-20,1:03:00 PM
605550,F,18,21-09-20,6:03:00 PM
605347,F,37,27-02-20,11:23:00 AM
605130,F,25,10-09-20,2:57:00 PM
605119,F,35,27-02-20,11:23:00 AM
604773,F,50,25-09-20,12:11:00 AM
604761,OTRO,28,03-10-20,12:22:00 PM
604605,OTRO,30,28-08-20,12:27:00 PM
604488,F,34,30-09-20,12:23:00 AM
604422,OTRO,25,08-10-20,2:24:00 PM
604210,F,37,30-09-20,12:24:00 PM
604188,F,25,12-09-20,9:23:00 PM
604081,F,38,19-09-20,10:05:00 AM
604059,OTRO,19,08-10-20,4:17:00 PM
604020,M,21,09-10-20,11:22:00 AM
603535,F,38,18-09-20,9:55:00 AM
603310,F,29,28-11-19,1:11:00 PM
603197,F,24,08-10-20,1:57:00 PM
603196,F,41,07-10-20,2:06:00 PM
603066,M,48,23-09-20,8:02:00 AM
602906,OTRO,26,07-10-20,8:53:00 PM
602647,M,36,27-11-19,6:44:00 PM
602389,OTRO,22,26-09-20,12:13:00 AM
601895,F,21,18-09-20,9:19:00 AM
601761,M,45,27-02-20,11:23:00 AM
601757,M,27,16-09-20,2:23:00 PM
601422,OTRO,20,19-09-20,5:53:00 PM
600997,F,36,10-09-20,10:16:00 AM
600991,M,33,09-10-20,11:16:00 AM
600794,OTRO,25,07-10-20,7:16:00 PM
600758,F,40,19-09-20,2:20:00 PM
600423,OTRO,31,01-10-20,4:06:00 PM
600268,F,22,25-11-19,12:32:00 PM
600134,M,43,04-09-20,12:45:00 PM
600071,OTRO,23,25-09-20,4:37:00 PM
599994,M,23,29-02-20,3:16:00 PM
599971,F,31,08-10-20,8:43:00 PM
599662,OTRO,21,03-10-20,12:27:00 AM
599549,F,35,02-09-20,2:38:00 PM
599442,F,20,03-10-20,2:44:00 PM
599425,OTRO,29,05-10-20,11:38:00 AM
599394,OTRO,41,06-10-20,9:27:00 PM
599310,M,25,24-11-19,3:09:00 PM
599239,F,26,15-09-20,2:41:00 PM
599060,F,27,25-09-20,9:40:00 PM
598961,OTRO,30,05-10-20,7:18:00 PM
598734,F,28,03-10-20,8:31:00 AM
598454,OTRO,29,20-09-20,4:45:00 PM
598216,OTRO,34,23-11-19,6:00:00 PM
598184,F,34,23-11-19,5:35:00 PM
598009,F,32,14-09-20,1:36:00 PM
597960,F,25,23-11-19,3:10:00 PM
597800,OTRO,26,19-09-20,2:34:00 PM
597536,F,22,20-09-20,12:22:00 PM
597482,OTRO,41,22-09-20,5:09:00 PM
597079,M,34,27-02-20,11:23:00 AM
596976,F,22,27-02-20,11:23:00 AM
596764,OTRO,28,22-11-19,2:38:00 PM
596582,OTRO,41,20-09-20,10:19:00 AM
596337,OTRO,26,20-09-20,10:56:00 AM
596243,OTRO,36,23-09-20,10:36:00 AM
596212,F,22,08-03-20,7:03:00 PM
595720,F,37,06-10-20,4:31:00 PM
595436,OTRO,36,08-10-20,8:47:00 AM
595397,F,51,15-09-20,11:27:00 AM
595296,F,47,26-09-20,10:43:00 AM
595170,M,31,12-09-20,1:18:00 PM
595140,F,30,03-10-20,4:44:00 PM
595113,M,24,20-11-19,8:29:00 PM
595068,OTRO,31,04-10-20,10:26:00 AM
594400,OTRO,37,03-10-20,6:42:00 PM
594172,OTRO,63,04-10-20,11:47:00 AM
594006,F,36,19-11-19,11:16:00 PM
593958,F,26,03-10-20,9:38:00 AM
593877,F,52,27-02-20,11:23:00 AM
593580,OTRO,32,20-09-20,2:07:00 PM
593504,M,30,19-11-19,4:46:00 PM
593487,OTRO,31,23-09-20,9:54:00 PM
593036,M,25,16-09-20,11:55:00 AM
593000,F,40,22-09-20,2:09:00 PM
592765,OTRO,24,29-09-20,2:35:00 PM
592526,OTRO,56,08-10-20,1:29:00 PM
592306,F,27,07-10-20,7:10:00 PM
592148,M,17,20-09-20,4:44:00 PM
592086,F,19,23-09-20,6:25:00 PM
591953,OTRO,26,09-10-20,12:01:00 AM
591784,F,38,27-02-20,11:23:00 AM
591316,F,20,17-09-20,2:27:00 PM
591192,F,33,09-10-20,11:20:00 AM
591099,OTRO,26,20-09-20,5:19:00 PM
591066,M,26,17-11-19,11:22:00 PM
591005,M,24,23-09-20,2:32:00 PM
590831,M,40,17-11-19,8:02:00 PM
590771,F,23,20-09-20,5:38:00 PM
589661,M,43,15-09-20,1:20:00 PM
589648,M,33,16-09-20,6:39:00 PM
589489,OTRO,51,30-09-20,1:35:00 PM
589329,OTRO,25,29-09-20,9:19:00 PM
589130,F,42,02-10-20,3:22:00 PM
589032,F,56,20-09-20,12:08:00 PM
588831,M,73,16-11-19,6:14:00 PM
588579,F,28,20-09-20,4:22:00 PM
588364,OTRO,36,24-09-20,6:15:00 PM
587540,OTRO,32,21-09-20,9:32:00 AM
587263,F,24,24-09-20,11:27:00 AM
587155,F,20,20-09-20,11:54:00 AM
586797,F,32,01-10-20,12:30:00 PM
586607,OTRO,29,26-09-20,4:04:00 PM
586581,F,25,19-09-20,4:10:00 PM
586441,OTRO,23,14-11-19,7:48:00 PM
586269,F,20,14-11-19,5:12:00 PM
585868,F,29,29-09-20,6:13:00 PM
585830,F,25,20-09-20,6:40:00 PM
585710,OTRO,34,17-09-20,3:27:00 PM
585581,OTRO,41,05-10-20,5:27:00 PM
585551,OTRO,47,21-09-20,3:31:00 PM
585533,F,26,14-09-20,8:19:00 PM
585444,F,20,02-10-20,1:30:00 AM
585236,F,23,13-11-19,8:30:00 PM
585186,M,39,27-02-20,11:23:00 AM
585070,OTRO,29,25-09-20,7:10:00 PM
584660,F,26,30-09-20,9:47:00 PM
584605,F,31,07-10-20,2:14:00 PM
584503,F,38,27-09-20,10:54:00 AM
584458,F,46,27-02-20,11:23:00 AM
584220,F,31,27-09-20,2:38:00 AM
584003,F,25,08-10-20,8:37:00 PM
583957,F,37,30-09-20,11:55:00 AM
583911,F,33,18-09-20,7:52:00 PM
583707,F,22,12-11-19,4:43:00 PM
583676,F,37,06-10-20,1:59:00 PM
583573,M,26,12-11-19,3:17:00 PM
583158,M,32,12-11-19,10:20:00 AM
582949,F,28,17-09-20,3:54:00 PM
582577,F,44,28-09-20,11:58:00 AM
582283,M,23,27-02-20,11:23:00 AM
582239,M,30,27-09-20,4:26:00 PM
581933,OTRO,27,27-02-20,11:23:00 AM
581864,F,23,20-09-20,5:41:00 PM
581741,OTRO,32,21-09-20,7:17:00 PM
581733,F,28,30-09-20,7:04:00 PM
581460,F,25,24-09-20,5:23:00 PM
581456,F,33,11-11-19,7:49:00 AM
581319,OTRO,23,19-09-20,9:59:00 PM
581082,OTRO,41,21-09-20,8:45:00 PM
580750,F,34,22-09-20,3:07:00 PM
580651,OTRO,29,16-09-20,7:34:00 PM
580394,OTRO,19,07-10-20,3:29:00 PM
580295,OTRO,47,27-02-20,11:23:00 AM
580161,OTRO,32,20-09-20,11:46:00 AM
580068,F,53,29-09-20,2:13:00 PM
580033,F,23,22-09-20,7:16:00 PM
579879,F,30,15-09-20,4:13:00 PM
579717,OTRO,31,13-09-20,4:34:00 PM
579553,F,20,10-11-19,10:41:00 AM
579478,OTRO,37,23-09-20,8:13:00 PM
579409,M,29,27-02-20,11:23:00 AM
579397,M,32,10-11-19,9:34:00 AM
579310,OTRO,21,21-09-20,11:40:00 AM
578956,F,43,09-11-19,11:13:00 PM
578944,M,51,20-09-20,1:34:00 PM
578900,F,32,30-09-20,2:22:00 PM
578776,OTRO,57,19-09-20,5:53:00 PM
578737,OTRO,22,03-10-20,12:19:00 PM
578686,F,60,15-09-20,3:19:00 PM
578518,M,37,09-11-19,6:21:00 PM
578251,F,38,06-10-20,12:21:00 PM
578112,OTRO,24,19-09-20,4:09:00 PM
577984,OTRO,28,04-10-20,1:20:00 AM
577751,F,46,27-02-20,11:23:00 AM
577699,F,46,01-10-20,4:01:00 PM
577577,F,67,06-10-20,5:09:00 PM
577532,M,46,20-09-20,3:04:00 PM
577281,F,31,20-09-20,9:03:00 PM
576957,F,21,26-09-20,12:02:00 AM
576909,M,30,25-09-20,2:51:00 PM
576848,OTRO,22,08-10-20,9:52:00 PM
576622,OTRO,27,27-02-20,11:23:00 AM
576373,F,46,23-09-20,9:50:00 AM
576333,F,28,22-09-20,10:19:00 AM
576256,F,46,16-09-20,12:37:00 PM
576250,M,32,27-02-20,11:23:00 AM
576245,F,33,28-09-20,10:01:00 AM
576232,OTRO,23,17-09-20,3:52:00 PM
576181,M,21,27-02-20,11:23:00 AM
576144,F,38,17-09-20,1:13:00 PM
575792,F,29,11-09-20,1:24:00 PM
575783,M,27,27-02-20,11:23:00 AM
575779,M,51,08-11-19,1:37:00 PM
575757,OTRO,31,16-09-20,10:41:00 PM
575720,OTRO,41,06-10-20,6:17:00 PM
575669,M,25,08-11-19,12:46:00 PM
575440,F,33,30-09-20,8:45:00 PM
575387,F,44,24-09-20,4:53:00 PM
574963,M,30,08-11-19,8:34:00 AM
574877,F,25,30-09-20,11:43:00 AM
574817,F,43,03-10-20,1:12:00 PM
574745,F,21,06-10-20,10:15:00 AM
574584,OTRO,20,24-09-20,9:59:00 AM
574471,OTRO,22,20-09-20,12:23:00 PM
574445,M,53,27-02-20,11:23:00 AM
574337,F,43,16-09-20,3:47:00 PM
574253,M,42,24-09-20,12:40:00 AM
574186,F,47,30-08-20,9:19:00 PM
574129,OTRO,31,03-10-20,7:32:00 PM
573625,M,33,27-02-20,11:23:00 AM
573486,OTRO,48,19-09-20,6:50:00 PM
573389,M,20,24-09-20,9:00:00 AM
573254,OTRO,47,11-09-20,4:38:00 AM
573177,M,29,24-08-20,5:01:00 PM
573087,M,26,07-11-19,3:32:00 PM
572977,OTRO,29,19-09-20,10:39:00 AM
572562,OTRO,37,25-09-20,9:10:00 PM
